android.permission.ACCESS_WIFI_STATE,android.permission.READ_LOGS,android.permission.CAMERA,android.permission.READ_PHONE_STATE,android.permission.CHANGE_NETWORK_STATE,android.permission.READ_SMS,android.permission.CHANGE_WIFI_STATE,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.DISABLE_KEYGUARD,android.permission.RESTART_PACKAGES,android.permission.GET_TASKS,android.permission.SEND_SMS,android.permission.INSTALL_PACKAGES,android.permission.SET_WALLPAPER,android.permission.READ_CALL_LOG,android.permission.READ_CONTACTS,android.permission.WRITE_APN_SETTINGS,android.permission.READ_EXTERNAL_STORAGE,android.permission.WRITE_CONTACTS,com.android.browser.permission.READ_HISTORY_BOOKMARKS,android.permission.WRITE_SETTINGS,LABEL
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,benignware
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,benignware
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,benignware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,benignware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,benignware
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,benignware
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,benignware
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,benignware
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,benignware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benignware
